meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,gen,1,G,crg,"[1, 2, 3]",Normal,"[0.01860672323213605, -0.011428083042736332, -0.0008878599617961914]","[0.001, 0.001, 0.001]"
2,gen,1,G,cig,"[1, 2, 3]",Normal,"[-0.006362024274042331, -0.007482464755487438, 0.013697920140019098]","[0.001, 0.001, 0.001]"
3,bus,4,G,vr,"[1, 2, 3]",Normal,"[0.9959084049999999, -0.4979542024999997, -0.49795420250000016]","[0.001, 0.001, 0.001]"
4,bus,4,G,vi,"[1, 2, 3]",Normal,"[-1.8624019896136562e-27, -0.8624819785724412, 0.8624819785724411]","[0.001, 0.001, 0.001]"
5,load,1,G,crd,2,Normal,-0.01143574288756264,0.001
6,load,1,G,cid,2,Normal,-0.007481403551862737,0.001
7,bus,3,G,vr,"[1, 2, 3]",Normal,"[0.9635750054926551, -0.49446678924738097, -0.49242391036749256]","[0.001, 0.001, 0.001]"
8,bus,3,G,vi,"[1, 2, 3]",Normal,"[-0.008156698707819729, -0.8481570186316757, 0.8435800990502458]","[0.001, 0.001, 0.001]"
9,load,2,G,crd,3,Normal,-0.0008883750227728533,0.001
10,load,2,G,cid,3,Normal,0.013706514544891706,0.001
11,load,3,G,crd,1,Normal,0.018626389829378292,0.001
12,load,3,G,cid,1,Normal,-0.00638448466884764,0.001
