meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,gen,1,G,crg,"[1, 2, 3]",Normal,"[-0.0001725861123163499, 0.00016468454634299207, 7.901565973357818e-6]","[0.001, 0.001, 0.001]"
2,gen,1,G,cig,"[1, 2, 3]",Normal,"[8.714647069294348e-5, 0.00012674323012973774, -0.00021388970082268123]","[0.001, 0.001, 0.001]"
3,bus,2354,G,vr,"[1, 2, 3]",Normal,"[1.0, -0.4999999999999998, -0.5000000000000002]","[0.001, 0.001, 0.001]"
4,bus,2354,G,vi,"[1, 2, 3]",Normal,"[1.0477058897466563e-31, -0.8660254037844388, 0.8660254037844386]","[0.001, 0.001, 0.001]"
5,load,32,G,crd,2,Normal,1.0910249879419718e-5,0.001
6,load,32,G,cid,2,Normal,8.809938637603349e-7,0.001
7,bus,351,G,vr,"[1, 2, 3]",Normal,"[0.8778062036011204, -0.8748725350820244, -0.0033644434588233044]","[0.001, 0.001, 0.001]"
8,bus,351,G,vi,"[1, 2, 3]",Normal,"[-0.5020572061109707, -0.5069859257671616, 1.0151595330941166]","[0.001, 0.001, 0.001]"
9,load,29,G,crd,3,Normal,-5.51668043123968e-6,0.001
10,load,29,G,cid,3,Normal,-1.2571277751760755e-5,0.001
11,bus,1051,G,vr,"[1, 2, 3]",Normal,"[0.8786479021775304, -0.8728160849741579, -0.0015329854966713255]","[0.001, 0.001, 0.001]"
12,bus,1051,G,vi,"[1, 2, 3]",Normal,"[-0.501006327154472, -0.5051802354138645, 1.0172543080833392]","[0.001, 0.001, 0.001]"
13,load,1,G,crd,1,Normal,-5.068707677382888e-6,0.001
14,load,1,G,cid,1,Normal,7.498973930210142e-6,0.001
15,bus,2140,G,vr,"[1, 2, 3]",Normal,"[0.8898298206157985, -0.882773007833713, -0.0008940301015728793]","[0.001, 0.001, 0.001]"
16,bus,2140,G,vi,"[1, 2, 3]",Normal,"[-0.5167008277053557, -0.5150288946346249, 1.017098592938518]","[0.001, 0.001, 0.001]"
17,load,54,G,crd,1,Normal,-8.04258688729547e-6,0.001
18,load,54,G,cid,1,Normal,1.099731157373461e-5,0.001
19,bus,2097,G,vr,"[1, 2, 3]",Normal,"[0.8879464726980252, -0.8817839789814997, -0.0011901881836696576]","[0.001, 0.001, 0.001]"
20,bus,2097,G,vi,"[1, 2, 3]",Normal,"[-0.5136112370907812, -0.5132445798934839, 1.0180831351951187]","[0.001, 0.001, 0.001]"
21,load,2,G,crd,3,Normal,-5.511162515602796e-6,0.001
22,load,2,G,cid,3,Normal,-1.2541373462410296e-5,0.001
23,bus,545,G,vr,"[1, 2, 3]",Normal,"[0.8863739376281594, -0.8801309903088076, -0.0011030459466574239]","[0.001, 0.001, 0.001]"
24,bus,545,G,vi,"[1, 2, 3]",Normal,"[-0.5109577708569707, -0.5117476050714347, 1.0186929337338186]","[0.001, 0.001, 0.001]"
25,load,41,G,crd,2,Normal,1.0206581773490524e-5,0.001
26,load,41,G,cid,2,Normal,1.1460888498246124e-6,0.001
27,bus,1539,G,vr,"[1, 2, 3]",Normal,"[0.8873387560507779, -0.8822016807981863, -0.0012258321102233145]","[0.001, 0.001, 0.001]"
28,bus,1539,G,vi,"[1, 2, 3]",Normal,"[-0.5127701184728236, -0.5130784618596693, 1.0181577933258372]","[0.001, 0.001, 0.001]"
29,load,65,G,crd,3,Normal,-5.509517160627727e-6,0.001
30,load,65,G,cid,3,Normal,-1.2540556036219457e-5,0.001
31,bus,1114,G,vr,"[1, 2, 3]",Normal,"[0.8837226907571295, -0.8773930572222807, -0.0009359050635852841]","[0.001, 0.001, 0.001]"
32,bus,1114,G,vi,"[1, 2, 3]",Normal,"[-0.50595348102661, -0.5084188858609312, 1.0210779975007211]","[0.001, 0.001, 0.001]"
33,load,51,G,crd,3,Normal,-5.518817712519125e-6,0.001
34,load,51,G,cid,3,Normal,-1.2562188008291709e-5,0.001
35,bus,254,G,vr,"[1, 2, 3]",Normal,"[0.8876245938461236, -0.881785381743544, -0.0010329046718031273]","[0.001, 0.001, 0.001]"
36,bus,254,G,vi,"[1, 2, 3]",Normal,"[-0.5132321786845714, -0.5132309765172666, 1.0185669776755792]","[0.001, 0.001, 0.001]"
37,load,53,G,crd,1,Normal,3.660871874201738e-6,0.001
38,load,53,G,cid,1,Normal,-1.7402865619333176e-6,0.001
39,bus,267,G,vr,"[1, 2, 3]",Normal,"[0.889735746086758, -0.8827743747764283, -0.0008953970442880705]","[0.001, 0.001, 0.001]"
40,bus,267,G,vi,"[1, 2, 3]",Normal,"[-0.5166172004915698, -0.5150274478822642, 1.0171000396908785]","[0.001, 0.001, 0.001]"
41,load,27,G,crd,3,Normal,-3.3303174602152306e-6,0.001
42,load,27,G,cid,3,Normal,-7.483212405880114e-6,0.001
43,bus,1067,G,vr,"[1, 2, 3]",Normal,"[0.8835603753081565, -0.8775553726712537, -0.001460495644255428]","[0.001, 0.001, 0.001]"
44,bus,1067,G,vi,"[1, 2, 3]",Normal,"[-0.5063747192675768, -0.508840124101898, 1.0194077637232908]","[0.001, 0.001, 0.001]"
45,load,42,G,crd,1,Normal,-8.003034233908952e-6,0.001
46,load,42,G,cid,1,Normal,1.0971599108833731e-5,0.001
47,bus,493,G,vr,"[1, 2, 3]",Normal,"[0.8889538999947426, -0.8826525506377113, -0.001049840936173755]","[0.001, 0.001, 0.001]"
48,bus,493,G,vi,"[1, 2, 3]",Normal,"[-0.5154582217118908, -0.5145268628409214, 1.0174080893474193]","[0.001, 0.001, 0.001]"
49,load,33,G,crd,1,Normal,-5.158706107236112e-6,0.001
50,load,33,G,cid,1,Normal,6.9760964681231005e-6,0.001
51,bus,1005,G,vr,"[1, 2, 3]",Normal,"[0.8780199028478021, -0.8744650132927683, -0.003226803640238103]","[0.001, 0.001, 0.001]"
52,bus,1005,G,vi,"[1, 2, 3]",Normal,"[-0.50230587993101, -0.5067764614042604, 1.0149768154229013]","[0.001, 0.001, 0.001]"
53,load,28,G,crd,1,Normal,-7.760222996109957e-6,0.001
54,load,28,G,cid,1,Normal,1.0678324160182416e-5,0.001
55,bus,1064,G,vr,"[1, 2, 3]",Normal,"[0.8872462670599499, -0.8807663413248852, -0.0011702418550992434]","[0.001, 0.001, 0.001]"
56,bus,1064,G,vi,"[1, 2, 3]",Normal,"[-0.512299541865117, -0.5124003125353125, 1.0182087621335492]","[0.001, 0.001, 0.001]"
57,load,52,G,crd,3,Normal,-4.167184036880249e-6,0.001
58,load,52,G,cid,3,Normal,-8.914387603406585e-6,0.001
59,bus,586,G,vr,"[1, 2, 3]",Normal,"[0.8777307005530952, -0.8744154172068203, -0.00297021746739424]","[0.001, 0.001, 0.001]"
60,bus,586,G,vi,"[1, 2, 3]",Normal,"[-0.5019426774903293, -0.506715645400413, 1.0155931204243895]","[0.001, 0.001, 0.001]"
61,load,50,G,crd,1,Normal,-6.0687675823286816e-6,0.001
62,load,50,G,cid,1,Normal,8.23936150102419e-6,0.001
63,bus,1174,G,vr,"[1, 2, 3]",Normal,"[0.8826220706781284, -0.876191192305054, -0.0018537649663537107]","[0.001, 0.001, 0.001]"
64,bus,1174,G,vi,"[1, 2, 3]",Normal,"[-0.5056057911165717, -0.5083889792795848, 1.017728867398577]","[0.001, 0.001, 0.001]"
65,load,63,G,crd,1,Normal,-5.955620240731315e-6,0.001
66,load,63,G,cid,1,Normal,8.128081766435373e-6,0.001
67,bus,480,G,vr,"[1, 2, 3]",Normal,"[0.8841881694899489, -0.877920267648035, -0.001567034277429572]","[0.001, 0.001, 0.001]"
68,bus,480,G,vi,"[1, 2, 3]",Normal,"[-0.5076730598614726, -0.5096355183304823, 1.018364381787586]","[0.001, 0.001, 0.001]"
69,load,26,G,crd,2,Normal,2.3378444222230757e-6,0.001
70,load,26,G,cid,2,Normal,-1.060754184018054e-6,0.001
