meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
71,bus,8,G,vr,"[1, 2, 3]",Normal,"[0.8774987068048888, -0.8738407679901495, -0.002945011761015741]","[0.001, 0.001, 0.001]"
72,bus,8,G,vi,"[1, 2, 3]",Normal,"[-0.5019199738603484, -0.5064079062333979, 1.014327861378913]","[0.001, 0.001, 0.001]"
73,load,10,G,crd,2,Normal,-1.0914049445192075e-6,0.001
74,load,10,G,cid,2,Normal,-1.822594635230081e-6,0.001
75,bus,165,G,vr,"[1, 2, 3]",Normal,"[0.8883898551490904, -0.8825110018084308, -0.0011485456486428499]","[0.001, 0.001, 0.001]"
76,bus,165,G,vi,"[1, 2, 3]",Normal,"[-0.5146693889454097, -0.5141536416930045, 1.0176153805412385]","[0.001, 0.001, 0.001]"
77,load,24,G,crd,3,Normal,-5.161966394406028e-6,0.001
78,load,24,G,cid,3,Normal,-1.144231293973758e-5,0.001
79,bus,862,G,vr,"[1, 2, 3]",Normal,"[0.8821833967123619, -0.8759767603975595, -0.0017534491928925667]","[0.001, 0.001, 0.001]"
80,bus,862,G,vi,"[1, 2, 3]",Normal,"[-0.505068746356532, -0.5082191304087095, 1.0180442334655433]","[0.001, 0.001, 0.001]"
81,load,58,G,crd,2,Normal,1.1757500511173583e-5,0.001
82,load,58,G,cid,2,Normal,1.305905709175378e-6,0.001
83,bus,23,G,vr,"[1, 2, 3]",Normal,"[0.8876171957610454, -0.882050064545624, -0.0011989890307921756]","[0.001, 0.001, 0.001]"
84,bus,23,G,vi,"[1, 2, 3]",Normal,"[-0.513239944190741, -0.5132906537696394, 1.0180889730651665]","[0.001, 0.001, 0.001]"
85,load,25,G,crd,1,Normal,-4.889524856711314e-6,0.001
86,load,25,G,cid,1,Normal,6.740451982341318e-6,0.001
87,bus,1937,G,vr,"[1, 2, 3]",Normal,"[0.8898273997127992, -0.8827730358914964, -0.0008940581593561844]","[0.001, 0.001, 0.001]"
88,bus,1937,G,vi,"[1, 2, 3]",Normal,"[-0.5166934991964339, -0.5150287758595974, 1.0170987117135453]","[0.001, 0.001, 0.001]"
89,load,23,G,crd,1,Normal,-6.2287053547307894e-6,0.001
90,load,23,G,cid,1,Normal,8.739717604715051e-6,0.001
91,bus,25,G,vr,"[1, 2, 3]",Normal,"[0.8875028781903993, -0.8814841552382888, -0.0012122115325804734]","[0.001, 0.001, 0.001]"
92,bus,25,G,vi,"[1, 2, 3]",Normal,"[-0.5129478494657421, -0.5129413752795565, 1.0181559877384958]","[0.001, 0.001, 0.001]"
93,load,49,G,crd,2,Normal,9.625505366889416e-6,0.001
94,load,49,G,cid,2,Normal,5.908906047174944e-7,0.001
95,bus,1473,G,vr,"[1, 2, 3]",Normal,"[0.8791923044788609, -0.8743674935684271, -0.0025834753642555172]","[0.001, 0.001, 0.001]"
96,bus,1473,G,vi,"[1, 2, 3]",Normal,"[-0.5026440433924825, -0.5068627858225117, 1.0155821093850363]","[0.001, 0.001, 0.001]"
97,load,59,G,crd,2,Normal,1.3608857424862477e-5,0.001
98,load,59,G,cid,2,Normal,1.4994588985440785e-6,0.001
99,bus,1448,G,vr,"[1, 2, 3]",Normal,"[0.8835541551090677, -0.877858396014694, -0.0015355090051129945]","[0.001, 0.001, 0.001]"
100,bus,1448,G,vi,"[1, 2, 3]",Normal,"[-0.5063783658198285, -0.5089033851868096, 1.0192034343691054]","[0.001, 0.001, 0.001]"
101,load,31,G,crd,3,Normal,-3.671745789232416e-6,0.001
102,load,31,G,cid,3,Normal,-7.933310525834652e-6,0.001
103,bus,1770,G,vr,"[1, 2, 3]",Normal,"[0.8837533694294969, -0.8776727025913607, -0.001495030160300424]","[0.001, 0.001, 0.001]"
104,bus,1770,G,vi,"[1, 2, 3]",Normal,"[-0.5070703171401273, -0.5093704233030248, 1.0187155090397255]","[0.001, 0.001, 0.001]"
105,load,5,G,crd,2,Normal,1.2423158710837153e-5,0.001
106,load,5,G,cid,2,Normal,1.2577059512273461e-6,0.001
107,bus,57,G,vr,"[1, 2, 3]",Normal,"[0.8873378754841755, -0.8822567254138858, -0.0012267126768257665]","[0.001, 0.001, 0.001]"
108,bus,57,G,vi,"[1, 2, 3]",Normal,"[-0.5127701968510517, -0.5130882428043593, 1.0181577149476089]","[0.001, 0.001, 0.001]"
109,load,62,G,crd,1,Normal,-3.1441729908273724e-6,0.001
110,load,62,G,cid,1,Normal,4.806675158774765e-6,0.001
111,bus,151,G,vr,"[1, 2, 3]",Normal,"[0.8778561379094403, -0.8748141072990842, -0.003355548147720002]","[0.001, 0.001, 0.001]"
112,bus,151,G,vi,"[1, 2, 3]",Normal,"[-0.5021036936409708, -0.5069788475983162, 1.0151699540942887]","[0.001, 0.001, 0.001]"
113,load,43,G,crd,2,Normal,-1.4320158838577379e-5,0.001
114,load,43,G,cid,2,Normal,-4.842379144202657e-6,0.001
115,bus,531,G,vr,"[1, 2, 3]",Normal,"[0.882734977748581, -0.8727181476984316, -0.0010982781466390423]","[0.001, 0.001, 0.001]"
116,bus,531,G,vi,"[1, 2, 3]",Normal,"[-0.5036266542939626, -0.5065295324068031, 1.017779830535656]","[0.001, 0.001, 0.001]"
117,load,39,G,crd,2,Normal,1.2122844271410123e-5,0.001
118,load,39,G,cid,2,Normal,1.1727000370672144e-6,0.001
119,bus,191,G,vr,"[1, 2, 3]",Normal,"[0.8844473702019775, -0.8786340794087815, -0.0015266180933840806]","[0.001, 0.001, 0.001]"
120,bus,191,G,vi,"[1, 2, 3]",Normal,"[-0.5081511001692947, -0.5100923721888344, 1.0183533113186698]","[0.001, 0.001, 0.001]"
121,load,44,G,crd,3,Normal,-4.864934135997157e-6,0.001
122,load,44,G,cid,3,Normal,-1.052111120433286e-5,0.001
123,bus,1727,G,vr,"[1, 2, 3]",Normal,"[0.8777477986857191, -0.8744654079622793, -0.0030254078373080683]","[0.001, 0.001, 0.001]"
124,bus,1727,G,vi,"[1, 2, 3]",Normal,"[-0.5019614038231867, -0.5067529546879177, 1.0155246591693572]","[0.001, 0.001, 0.001]"
125,load,34,G,crd,1,Normal,-5.44743180403738e-6,0.001
126,load,34,G,cid,1,Normal,8.113863078016585e-6,0.001
127,bus,1624,G,vr,"[1, 2, 3]",Normal,"[0.8828964309852363, -0.8731192473963106, -0.0011052165273027056]","[0.001, 0.001, 0.001]"
128,bus,1624,G,vi,"[1, 2, 3]",Normal,"[-0.503855108580324, -0.5067025246783238, 1.0177696988884006]","[0.001, 0.001, 0.001]"
129,load,55,G,crd,2,Normal,1.3647458751312779e-5,0.001
130,load,55,G,cid,2,Normal,1.5438521370245632e-6,0.001
131,bus,1634,G,vr,"[1, 2, 3]",Normal,"[0.8879936047793295, -0.8826871362253704, -0.0012113487483830546]","[0.001, 0.001, 0.001]"
132,bus,1634,G,vi,"[1, 2, 3]",Normal,"[-0.5140175973188261, -0.5138401269300016, 1.017832055545678]","[0.001, 0.001, 0.001]"
133,load,17,G,crd,1,Normal,-6.738766876502729e-6,0.001
134,load,17,G,cid,1,Normal,9.564999002801105e-6,0.001
135,bus,1085,G,vr,"[1, 2, 3]",Normal,"[0.8868203324441222, -0.8803849298008004, -0.001182264746944744]","[0.001, 0.001, 0.001]"
136,bus,1085,G,vi,"[1, 2, 3]",Normal,"[-0.5116209606381878, -0.5120401316694928, 1.0182846919378694]","[0.001, 0.001, 0.001]"
137,load,71,G,crd,3,Normal,-4.474709384954957e-6,0.001
138,load,71,G,cid,3,Normal,-9.842091488558576e-6,0.001
139,bus,1893,G,vr,"[1, 2, 3]",Normal,"[0.8891891052367301, -0.882787528712565, -0.0008431588179954116]","[0.001, 0.001, 0.001]"
140,bus,1893,G,vi,"[1, 2, 3]",Normal,"[-0.5158504205076788, -0.5148680857809014, 1.0175465430613073]","[0.001, 0.001, 0.001]"
141,load,37,G,crd,1,Normal,-4.871019022887947e-6,0.001
142,load,37,G,cid,1,Normal,6.684941005943708e-6,0.001
143,bus,1555,G,vr,"[1, 2, 3]",Normal,"[0.8857461895261616, -0.879352795230774, -0.0013492071671643202]","[0.001, 0.001, 0.001]"
144,bus,1555,G,vi,"[1, 2, 3]",Normal,"[-0.5099662612334891, -0.5109861008674477, 1.0183718736896845]","[0.001, 0.001, 0.001]"
145,load,47,G,crd,2,Normal,6.583009547271041e-6,0.001
146,load,47,G,cid,2,Normal,3.1404651272966683e-7,0.001
147,bus,471,G,vr,"[1, 2, 3]",Normal,"[0.8857320970131036, -0.8798025195351334, -0.0013294253228260768]","[0.001, 0.001, 0.001]"
148,bus,471,G,vi,"[1, 2, 3]",Normal,"[-0.5100451510082371, -0.5112259097915951, 1.0183727760326688]","[0.001, 0.001, 0.001]"
149,load,9,G,crd,3,Normal,-3.525919962488251e-6,0.001
150,load,9,G,cid,3,Normal,-7.458394884404218e-6,0.001
151,bus,488,G,vr,"[1, 2, 3]",Normal,"[0.8852901537193726, -0.8791278747654493, -0.0013122242784390239]","[0.001, 0.001, 0.001]"
152,bus,488,G,vi,"[1, 2, 3]",Normal,"[-0.5093447044054682, -0.5107612477313058, 1.0185735691822997]","[0.001, 0.001, 0.001]"
153,load,12,G,crd,1,Normal,-8.447073901424522e-7,0.001
154,load,12,G,cid,1,Normal,1.8166625338768877e-6,0.001
155,bus,443,G,vr,"[1, 2, 3]",Normal,"[0.8697334392990858, -0.8677716069070656, -0.0017629870504216579]","[0.001, 0.001, 0.001]"
156,bus,443,G,vi,"[1, 2, 3]",Normal,"[-0.5000586071598996, -0.5026522061563068, 1.0038345723805333]","[0.001, 0.001, 0.001]"
157,load,20,G,crd,1,Normal,-7.006007278788873e-6,0.001
158,load,20,G,cid,1,Normal,9.611999524294691e-6,0.001
159,bus,1059,G,vr,"[1, 2, 3]",Normal,"[0.8898507518993128, -0.8827727044768834, -0.0008937267447431905]","[0.001, 0.001, 0.001]"
160,bus,1059,G,vi,"[1, 2, 3]",Normal,"[-0.5167200042617679, -0.515029225507942, 1.017098262065201]","[0.001, 0.001, 0.001]"
161,load,6,G,crd,3,Normal,-2.0896893974394255e-6,0.001
162,load,6,G,cid,3,Normal,-1.5379591667293767e-6,0.001
163,bus,35,G,vr,"[1, 2, 3]",Normal,"[0.8786916942708838, -0.8727722928808045, -0.0014465640848454033]","[0.001, 0.001, 0.001]"
164,bus,35,G,vi,"[1, 2, 3]",Normal,"[-0.5009362746306828, -0.5051101828900751, 1.0174212446474886]","[0.001, 0.001, 0.001]"
165,load,70,G,crd,3,Normal,-3.2810426056611095e-6,0.001
166,load,70,G,cid,3,Normal,-7.325906574885088e-6,0.001
167,bus,798,G,vr,"[1, 2, 3]",Normal,"[0.8832174230054634, -0.8770763382535911, -0.0016261986083768733]","[0.001, 0.001, 0.001]"
168,bus,798,G,vi,"[1, 2, 3]",Normal,"[-0.5063178676142432, -0.5089178699757978, 1.0184291132645766]","[0.001, 0.001, 0.001]"
169,load,14,G,crd,3,Normal,-2.155181504745247e-6,0.001
170,load,14,G,cid,3,Normal,-4.344518790406068e-6,0.001
171,bus,696,G,vr,"[1, 2, 3]",Normal,"[0.8785984358402491, -0.8728655513114391, -0.0016251100446331359]","[0.001, 0.001, 0.001]"
172,bus,696,G,vi,"[1, 2, 3]",Normal,"[-0.5011153036648429, -0.5052892119242353, 1.016998049788248]","[0.001, 0.001, 0.001]"
173,load,7,G,crd,3,Normal,-4.110669943710803e-6,0.001
174,load,7,G,cid,3,Normal,-8.741570137651645e-6,0.001
175,bus,632,G,vr,"[1, 2, 3]",Normal,"[0.8778196724499184, -0.8748158125226233, -0.003334908764452312]","[0.001, 0.001, 0.001]"
176,bus,632,G,vi,"[1, 2, 3]",Normal,"[-0.502055129405345, -0.5069737352634124, 1.0152320291978092]","[0.001, 0.001, 0.001]"
177,load,57,G,crd,3,Normal,-2.37379812077865e-6,0.001
178,load,57,G,cid,3,Normal,-3.747427566713356e-6,0.001
179,bus,139,G,vr,"[1, 2, 3]",Normal,"[0.8878762970038665, -0.8820918791227614, -0.0011429578492406865]","[0.001, 0.001, 0.001]"
180,bus,139,G,vi,"[1, 2, 3]",Normal,"[-0.5137440778845908, -0.5135694397998586, 1.018034420486631]","[0.001, 0.001, 0.001]"
181,load,8,G,crd,1,Normal,-3.094325692724454e-6,0.001
182,load,8,G,cid,1,Normal,4.50093178255711e-6,0.001
183,bus,647,G,vr,"[1, 2, 3]",Normal,"[0.8898077613104637, -0.8827733169971791, -0.0008943392650388839]","[0.001, 0.001, 0.001]"
184,bus,647,G,vi,"[1, 2, 3]",Normal,"[-0.5166729523881417, -0.515028425178811, 1.017099062394332]","[0.001, 0.001, 0.001]"
185,load,64,G,crd,3,Normal,-4.105244261597439e-6,0.001
186,load,64,G,cid,3,Normal,-9.315323880777147e-6,0.001
187,bus,847,G,vr,"[1, 2, 3]",Normal,"[0.887351979426902, -0.8814845524398077, -0.00112537759515141]","[0.001, 0.001, 0.001]"
188,bus,847,G,vi,"[1, 2, 3]",Normal,"[-0.5127648978912808, -0.5129343491106725, 1.0184205263642603]","[0.001, 0.001, 0.001]"
189,load,19,G,crd,3,Normal,-1.3198447443520012e-6,0.001
190,load,19,G,cid,3,Normal,-2.2061293788372645e-6,0.001
191,bus,246,G,vr,"[1, 2, 3]",Normal,"[0.8890043894418337, -0.8828120597329744, -0.0009984906219906672]","[0.001, 0.001, 0.001]"
192,bus,246,G,vi,"[1, 2, 3]",Normal,"[-0.5156375286819118, -0.5147542628549274, 1.0173591241428634]","[0.001, 0.001, 0.001]"
193,load,69,G,crd,3,Normal,-2.194651971521505e-6,0.001
194,load,69,G,cid,3,Normal,-4.469549365208151e-6,0.001
195,bus,1918,G,vr,"[1, 2, 3]",Normal,"[0.8787110492217505, -0.8727529379299378, -0.0014123659979713985]","[0.001, 0.001, 0.001]"
196,bus,1918,G,vi,"[1, 2, 3]",Normal,"[-0.5008835966957195, -0.5050575049551118, 1.0175442780035513]","[0.001, 0.001, 0.001]"
197,load,60,G,crd,1,Normal,-7.950667988172004e-6,0.001
198,load,60,G,cid,1,Normal,1.0923916161971134e-5,0.001
199,bus,2143,G,vr,"[1, 2, 3]",Normal,"[0.8898612008501571, -0.8827725565548594, -0.0008935788227192961]","[0.001, 0.001, 0.001]"
200,bus,2143,G,vi,"[1, 2, 3]",Normal,"[-0.5167321327616096, -0.5150294309376399, 1.0170980566355028]","[0.001, 0.001, 0.001]"
201,load,4,G,crd,2,Normal,6.639403465111403e-6,0.001
202,load,4,G,cid,2,Normal,7.011706323398478e-7,0.001
203,bus,682,G,vr,"[1, 2, 3]",Normal,"[0.8714525539461574, -0.8693378471059224, -0.0018316882244288043]","[0.001, 0.001, 0.001]"
204,bus,682,G,vi,"[1, 2, 3]",Normal,"[-0.500627095102487, -0.5034152876519318, 1.0062328016621407]","[0.001, 0.001, 0.001]"
205,load,22,G,crd,1,Normal,-5.66098740691819e-6,0.001
206,load,22,G,cid,1,Normal,7.800512723219387e-6,0.001
207,bus,1514,G,vr,"[1, 2, 3]",Normal,"[0.877855583337197, -0.8746340265438766, -0.003286483565795719]","[0.001, 0.001, 0.001]"
208,bus,1514,G,vi,"[1, 2, 3]",Normal,"[-0.5021166988134594, -0.506901671780589, 1.0150184442774601]","[0.001, 0.001, 0.001]"
209,load,11,G,crd,2,Normal,1.3775792443674554e-5,0.001
210,load,11,G,cid,2,Normal,1.5266114445174477e-6,0.001
211,bus,833,G,vr,"[1, 2, 3]",Normal,"[0.8777227557028425, -0.8751518480392129, -0.0032522412926257478]","[0.001, 0.001, 0.001]"
212,bus,833,G,vi,"[1, 2, 3]",Normal,"[-0.5019775894000046, -0.5068868358694844, 1.0149841365624261]","[0.001, 0.001, 0.001]"
213,load,35,G,crd,1,Normal,-7.04897581814379e-6,0.001
214,load,35,G,cid,1,Normal,9.598889539819109e-6,0.001
215,bus,1153,G,vr,"[1, 2, 3]",Normal,"[0.8849125604513582, -0.8785512006940787, -0.0014713455147379675]","[0.001, 0.001, 0.001]"
216,bus,1153,G,vi,"[1, 2, 3]",Normal,"[-0.5087344759984287, -0.5102448420935745, 1.018346111476092]","[0.001, 0.001, 0.001]"
217,load,13,G,crd,1,Normal,-4.665249701187018e-6,0.001
218,load,13,G,cid,1,Normal,6.766259709902342e-6,0.001
219,bus,1698,G,vr,"[1, 2, 3]",Normal,"[0.8881235966226875, -0.8822537408028397, -0.0012026946692423506]","[0.001, 0.001, 0.001]"
220,bus,1698,G,vi,"[1, 2, 3]",Normal,"[-0.5141657142050615, -0.5137552629460478, 1.0178303235091535]","[0.001, 0.001, 0.001]"
221,load,67,G,crd,1,Normal,-3.5347699119090225e-6,0.001
222,load,67,G,cid,1,Normal,5.224041935484368e-6,0.001
223,bus,2043,G,vr,"[1, 2, 3]",Normal,"[0.8791299621132437, -0.873934006768568, -0.0025641676334782824]","[0.001, 0.001, 0.001]"
224,bus,2043,G,vi,"[1, 2, 3]",Normal,"[-0.5026871536820661, -0.5067222913806815, 1.015412518762388]","[0.001, 0.001, 0.001]"
225,load,61,G,crd,2,Normal,1.0225692022954634e-5,0.001
226,load,61,G,cid,2,Normal,1.157899750085279e-6,0.001
227,bus,1544,G,vr,"[1, 2, 3]",Normal,"[0.888270538732187, -0.882776247681918, -0.0011822383292607065]","[0.001, 0.001, 0.001]"
228,bus,1544,G,vi,"[1, 2, 3]",Normal,"[-0.5145048032732416, -0.5141196947156632, 1.0176682354713746]","[0.001, 0.001, 0.001]"
229,load,15,G,crd,2,Normal,1.0608946359576006e-5,0.001
230,load,15,G,cid,2,Normal,8.57520374889146e-7,0.001
231,bus,821,G,vr,"[1, 2, 3]",Normal,"[0.8889970877622873, -0.8832408076359599, -0.0010298228878299386]","[0.001, 0.001, 0.001]"
232,bus,821,G,vi,"[1, 2, 3]",Normal,"[-0.5156388427404838, -0.5148275447782577, 1.017308147080086]","[0.001, 0.001, 0.001]"
233,load,16,G,crd,2,Normal,4.678300257380488e-6,0.001
234,load,16,G,cid,2,Normal,2.748115629327022e-7,0.001
235,bus,625,G,vr,"[1, 2, 3]",Normal,"[0.8855093107472808, -0.8794724956864752, -0.0013543951888688207]","[0.001, 0.001, 0.001]"
236,bus,625,G,vi,"[1, 2, 3]",Normal,"[-0.5096966603795129, -0.510998611456869, 1.0183763365706835]","[0.001, 0.001, 0.001]"
237,load,40,G,crd,3,Normal,-3.383959498754382e-6,0.001
238,load,40,G,cid,3,Normal,-7.639515025673257e-6,0.001
239,bus,982,G,vr,"[1, 2, 3]",Normal,"[0.882726425753942, -0.873120861010286, -0.0010257246062383226]","[0.001, 0.001, 0.001]"
240,bus,982,G,vi,"[1, 2, 3]",Normal,"[-0.5036244669626677, -0.5066902056997733, 1.0180033541905376]","[0.001, 0.001, 0.001]"
241,load,46,G,crd,3,Normal,-4.792956395428651e-6,0.001
242,load,46,G,cid,3,Normal,-1.0881790529426362e-5,0.001
243,bus,1999,G,vr,"[1, 2, 3]",Normal,"[0.8824060746446081, -0.8734109835363575, -0.0012474218640503344]","[0.001, 0.001, 0.001]"
244,bus,1999,G,vi,"[1, 2, 3]",Normal,"[-0.5035574910389234, -0.5067596078479161, 1.0179383704039213]","[0.001, 0.001, 0.001]"
245,load,38,G,crd,2,Normal,1.3311681362800726e-5,0.001
246,load,38,G,cid,2,Normal,1.4798283986648528e-6,0.001
247,bus,1386,G,vr,"[1, 2, 3]",Normal,"[0.8893454557058293, -0.8832432440421933, -0.0009081436138491137]","[0.001, 0.001, 0.001]"
248,bus,1386,G,vi,"[1, 2, 3]",Normal,"[-0.5160983410509475, -0.5151116373706781, 1.0171079268172034]","[0.001, 0.001, 0.001]"
249,load,21,G,crd,3,Normal,-4.7964186570294045e-6,0.001
250,load,21,G,cid,3,Normal,-1.0926588333711332e-5,0.001
251,bus,2200,G,vr,"[1, 2, 3]",Normal,"[0.8781950717538464, -0.8732689153978418, -0.0024113372797838362]","[0.001, 0.001, 0.001]"
